web-scraper-order,headline,headline-href,head,date
1545820001-53,‘Zero HIV surveillance centre’ opened for transgender people,https://timesofindia.indiatimes.com/city/thiruvananthapuram/zero-hiv-surveillance-centre-opened-for-transgender-people/articleshow/67168845.cms,‘Zero HIV surveillance centre’ opened for transgender people,"Dec 19, 2018, 23:59 IST"
1545819992-49,Ambulance driver’s humane touch,https://timesofindia.indiatimes.com/city/pune/ambulance-drivers-humane-touch/articleshow/67127110.cms,Ambulance driver’s humane touch,"Dec 17, 2018, 15:23 IST"
1545819997-51,Women’s panel: No aid for HIV patient,https://timesofindia.indiatimes.com/city/bhubaneswar/womens-panel-no-aid-for-hiv-patient/articleshow/67134269.cms,Women’s panel: No aid for HIV patient,"Dec 18, 2018, 12:04 IST"
1545820005-55,'Zero HIV centre' opened for transgender people,https://timesofindia.indiatimes.com/city/thiruvananthapuram/zero-hiv-centre-opened-for-transgender-people/articleshow/67175558.cms,'Zero HIV centre' opened for transgender people,"Dec 20, 2018, 13:53 IST"
1545819999-52,MLA opens renovated Jyothis centre at Kozhikode Govt Medical College,https://timesofindia.indiatimes.com/city/kozhikode/mla-opens-renovated-jyothis-centre-at-kozhikode-govt-medical-college/articleshow/67145298.cms,MLA opens renovated Jyothis centre at Kozhikode Govt Medical College,"Dec 18, 2018, 17:00 IST"
1545819984-46,"In 1997, this Indian doctor tried pig heart transplant, was jailed",https://timesofindia.indiatimes.com/india/in-1997-this-indian-doctor-tried-pig-heart-transplant-was-jailed/articleshow/67112448.cms,"In 1997, this Indian doctor tried pig heart transplant, was jailed","Dec 16, 2018, 10:37 IST"
1545820003-54,US Senate passes bill to avert shutdown,https://timesofindia.indiatimes.com/world/us/us-senate-passes-bill-to-avert-shutdown/articleshow/67175055.cms,US Senate passes bill to avert shutdown,"Dec 20, 2018, 13:22 IST"
1545819994-50,"20,000 teenage pregnancies reported in nine months in Tamil Nadu",https://timesofindia.indiatimes.com/city/chennai/20000-teenage-pregnancies-reported-in-nine-months-in-tn/articleshow/67135739.cms,"20,000 teenage pregnancies reported in nine months in Tamil Nadu","Dec 18, 2018, 13:23 IST"
1545819990-48,Miss Universe 2018 winner: Miss Philippines Catriona Gray bags the title,https://timesofindia.indiatimes.com/life-style/fashion/buzz/miss-philippines-catriona-gray-bags-miss-universe-2018-title/articleshow/67121868.cms,Miss Universe 2018 winner: Miss Philippines Catriona Gray bags the title,"Dec 17, 2018, 16:56 IST"
1545819986-47,Nations agree on milestone rulebook for Paris climate treaty,https://timesofindia.indiatimes.com/world/europe/nations-agree-on-milestone-rulebook-for-paris-climate-treaty/articleshow/67111526.cms,Nations agree on milestone rulebook for Paris climate treaty,"Dec 16, 2018, 08:25 IST"
1545820562-63,Morab villagers begin to refill lake with canal water,https://timesofindia.indiatimes.com/city/hubballi/morab-villagers-begin-to-refill-lake-with-canal-water/articleshow/67065715.cms,Morab villagers begin to refill lake with canal water,"Dec 13, 2018, 09:41 IST"
1545820573-68,"In 1997, this Indian doctor tried pig heart transplant, was jailed",https://timesofindia.indiatimes.com/home/science/in-1997-this-indian-doctor-tried-pig-heart-transplant-was-jailed/articleshow/67111349.cms,"In 1997, this Indian doctor tried pig heart transplant, was jailed","Dec 16, 2018, 10:37 IST"
1545820569-66,Social work hones Ivy League-bound students,https://timesofindia.indiatimes.com/city/jaipur/social-work-hones-ivy-league-bound-students/articleshow/67110372.cms,Social work hones Ivy League-bound students,"Dec 16, 2018, 06:35 IST"
1545820571-67,Transsexual artists showcase their talents,https://timesofindia.indiatimes.com/city/coimbatore/transsexual-artists-showcase-their-talents/articleshow/67110523.cms,Transsexual artists showcase their talents,"Dec 17, 2018, 16:07 IST"
1545820553-59,"HIV+ inmate dies, kin accuse jail of negligence",https://timesofindia.indiatimes.com/city/chandigarh/hiv-inmate-dies-kin-accuse-jail-of-negligence/articleshow/67017731.cms,"HIV+ inmate dies, kin accuse jail of negligence","Dec 10, 2018, 07:10 IST"
1545820567-65,Man attacks niece born with HIV for sleeping in his house,https://timesofindia.indiatimes.com/city/coimbatore/man-attacks-niece-born-with-hiv-for-sleeping-in-his-house/articleshow/67110209.cms,Man attacks niece born with HIV for sleeping in his house,"Dec 16, 2018, 07:14 IST"
1545820556-60,2 rescued girls to SEAL it with a kiss at marriages this weekend,https://timesofindia.indiatimes.com/city/mumbai/2-rescued-girls-to-seal-it-with-a-kiss-at-marriages-this-weekend/articleshow/67050724.cms,2 rescued girls to SEAL it with a kiss at marriages this weekend,"Dec 12, 2018, 05:35 IST"
1545820565-64,Patna: Met office forecasts drop in temperature,https://timesofindia.indiatimes.com/city/patna/met-office-forecasts-drop-in-temperature/articleshow/67097781.cms,Patna: Met office forecasts drop in temperature,"Dec 15, 2018, 07:51 IST"
1545820560-62,2 rescued girls to SEAL it with a kiss at weddings this weekend,https://timesofindia.indiatimes.com/city/navi-mumbai/2-rescued-girls-to-seal-it-with-a-kiss-at-weddings-this-weekend/articleshow/67050935.cms,2 rescued girls to SEAL it with a kiss at weddings this weekend,"Dec 12, 2018, 13:49 IST"
1545820558-61,"Jail authorities, ART centre pass the buck",https://timesofindia.indiatimes.com/city/chandigarh/jail-authorities-art-centre-pass-the-buck/articleshow/67051593.cms,"Jail authorities, ART centre pass the buck","Dec 12, 2018, 07:18 IST"
1545821142-82,Citizens urged to get tested for HIV,https://timesofindia.indiatimes.com/city/chandigarh/citizens-urged-to-get-tested-for-hiv/articleshow/66903829.cms,chandigarh/citizens-urged-to-get-tested-for-hiv/,"Dec 2, 2018, 10:34 IST"
1545821142-81,Citizens urged to get tested for HIV,https://timesofindia.indiatimes.com/city/chandigarh/citizens-urged-to-get-tested-for-hiv/articleshow/66903829.cms,Citizens urged to get tested for HIV,
1545821151-86,"The most-happening month of the year is here, say Chennaiites",https://timesofindia.indiatimes.com/life-style/spotlight/the-most-happening-month-of-the-year-is-here-say-chennaiites/articleshow/66903758.cms,,"Dec 2, 2018, 11:13 IST"
1545821144-84,HIV positive Gujarati man working to fight deadly virus,https://timesofindia.indiatimes.com/city/vadodara/hiv-positive-gujarati-man-working-to-fight-deadly-virus/articleshow/66901257.cms,,"Dec 2, 2018, 10:36 IST"
1545821153-87,Dip in HIV-infected pregnant women in Madurai: Collector,https://timesofindia.indiatimes.com/city/madurai/dip-in-hiv-infected-pregnant-women-in-madurai-collector/articleshow/66901802.cms,Dip in HIV-infected pregnant women in Madurai: Collector,
1545821153-88,Dip in HIV-infected pregnant women in Madurai: Collector,https://timesofindia.indiatimes.com/city/madurai/dip-in-hiv-infected-pregnant-women-in-madurai-collector/articleshow/66901802.cms,,"Dec 2, 2018, 11:29 IST"
1545821144-83,HIV positive Gujarati man working to fight deadly virus,https://timesofindia.indiatimes.com/city/vadodara/hiv-positive-gujarati-man-working-to-fight-deadly-virus/articleshow/66901257.cms,HIV positive Gujarati man working to fight deadly virus,
1545821151-85,"The most-happening month of the year is here, say Chennaiites",https://timesofindia.indiatimes.com/life-style/spotlight/the-most-happening-month-of-the-year-is-here-say-chennaiites/articleshow/66903758.cms,"The most-happening month of the year is here, say Chennaiites",
1545821509-102,World Aids Day: Ambala Jail provides treatment to HIV+ve inmates,https://timesofindia.indiatimes.com/city/gurgaon/world-aids-day-hivve-inmates-in-ambala-central-jail-get-proper-treatment/articleshow/66897181.cms,World Aids Day: Ambala Jail provides treatment to HIV+ve inmates,"Dec 2, 2018, 00:09 IST"
1545821505-101,Play based on World AIDS Day at Sector 17,https://timesofindia.indiatimes.com/entertainment/events/chandigarh/play-based-on-world-aids-day-at-sector-17/articleshow/66896858.cms,Play based on World AIDS Day at Sector 17,"Dec 1, 2018, 18:55 IST"
1545821512-103,Health officials urge youths to use 1097 helpline number to stay abreast about HIV,https://timesofindia.indiatimes.com/city/dehradun/health-officials-urge-youths-to-use-1097-helpline-number-to-stay-abreast-about-hiv/articleshow/66900429.cms,Health officials urge youths to use 1097 helpline number to stay abreast about HIV,"Dec 1, 2018, 23:03 IST"
1545821732-122,Play based on World AIDS Day at Sector 17,https://timesofindia.indiatimes.com/city/chandigarh/play-based-on-world-aids-day-at-sector-17/articleshow/66896918.cms,Play based on World AIDS Day at Sector 17,"Dec 1, 2018, 18:55 IST"
1545821730-121,Various programmes held in Kozhikode to mark World AIDS Day,https://timesofindia.indiatimes.com/city/kozhikode/various-programmes-held-in-kozhikode-to-mark-the-world-aids-day-observance/articleshow/66896857.cms,Various programmes held in Kozhikode to mark World AIDS Day,"Dec 1, 2018, 19:05 IST"
1545821698-114,"Armed with a positive attitude, HIV-infected youths chase dreams",https://timesofindia.indiatimes.com/city/bengaluru/armed-with-a-positive-attitude-hiv-infected-youths-chase-dreams/articleshow/66890963.cms,"Armed with a positive attitude, HIV-infected youths chase dreams","Dec 1, 2018, 08:52 IST"
1545821701-115,When an Indian sex worker's tale brought Bill Gates to tears!,https://timesofindia.indiatimes.com/india/when-an-indian-sex-workers-tale-brought-bill-gates-to-tears/articleshow/66891474.cms,When an Indian sex worker's tale brought Bill Gates to tears!,"Dec 1, 2018, 10:04 IST"
1545821711-116,People show there are no full stops after HIV/AIDS,https://timesofindia.indiatimes.com/city/nashik/people-show-there-are-no-full-stops-after-hiv/aids/articleshow/66886530.cms,People show there are no full stops after HIV/AIDS,"Dec 1, 2018, 10:22 IST"
1545821728-120,Myths and taboos related to AIDS,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/myths-and-taboos-related-to-aids/articleshow/66936585.cms,Myths and taboos related to AIDS,"Dec 1, 2018, 17:00 IST"
1545821721-118,500 new HIV cases reported in Uttarakhand this year,https://timesofindia.indiatimes.com/city/dehradun/500-new-hiv-cases-reported-in-state-this-yr/articleshow/66888019.cms,500 new HIV cases reported in Uttarakhand this year,"Dec 1, 2018, 12:11 IST"
1545821725-119,Number of HIV cases increasing among young: Expert,https://timesofindia.indiatimes.com/city/nagpur/instances-of-hiv-increasing-among-young/articleshow/66888363.cms,Number of HIV cases increasing among young: Expert,"Dec 1, 2018, 12:22 IST"
1545821695-113,"Served persons with HIV, AIDS for decade, woman now fights for life",https://timesofindia.indiatimes.com/city/chandigarh/served-persons-with-hiv-aids-for-decade-woman-now-fights-for-life/articleshow/66890912.cms,"Served persons with HIV, AIDS for decade, woman now fights for life","Dec 1, 2018, 08:45 IST"
1545821718-117,I told my boyfriend I was HIV positive and this happened...,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/i-told-my-boyfriend-i-was-hiv-positive-and-this-happened-/articleshow/66880405.cms,I told my boyfriend I was HIV positive and this happened...,"Dec 1, 2018, 11:00 IST"
1545821956-134,How this HIV-infected MP man gives hope to others,https://timesofindia.indiatimes.com/city/bhopal/how-this-hiv-infected-mp-man-gives-hope-to-others/articleshow/66890627.cms,How this HIV-infected MP man gives hope to others,"Dec 1, 2018, 23:33 IST"
1545821927-129,Steep increase in HIV/AIDS infection among Tamil Nadu youth,https://timesofindia.indiatimes.com/city/chennai/steep-increase-in-hiv/aids-infection-among-tamil-nadu-youth/articleshow/66890000.cms,Steep increase in HIV/AIDS infection among Tamil Nadu youth,"Dec 1, 2018, 09:30 IST"
1545821933-131,No. of pregnant women testing HIV+ dips; still over 600 this year,https://timesofindia.indiatimes.com/city/mumbai/no-of-pregnant-women-testing-hiv-dips-still-over-600-this-year/articleshow/66890273.cms,No. of pregnant women testing HIV+ dips; still over 600 this year,"Dec 1, 2018, 06:48 IST"
1545821953-133,Centre for excellence in HIV care will be set up by December 2019: Vishwajit Rane,https://timesofindia.indiatimes.com/city/goa/centre-for-excellence-in-hiv-care-will-be-set-up-by-dec-2019-rane/articleshow/66888862.cms,Centre for excellence in HIV care will be set up by December 2019: Vishwajit Rane,"Dec 1, 2018, 07:37 IST"
1545821950-132,Mediations help in AIDS fight,https://timesofindia.indiatimes.com/city/kozhikode/mediations-help-in-aids-fight/articleshow/66890348.cms,Mediations help in AIDS fight,"Dec 1, 2018, 07:12 IST"
1545821930-130,Woman claims husband gave her HIV through saline,https://timesofindia.indiatimes.com/city/pune/woman-claims-husband-gave-her-hiv-through-saline/articleshow/66889095.cms,Woman claims husband gave her HIV through saline,"Dec 1, 2018, 06:14 IST"
1545821919-126,Goa govt to set centre in excellence in HIV care,https://timesofindia.indiatimes.com/city/goa/goa-govt-to-set-centre-in-excellence-in-hiv-care/articleshow/66887540.cms,Goa govt to set centre in excellence in HIV care,"Nov 30, 2018, 22:54 IST"
1545821924-128,"Weak in flesh, positive in battling the scourge",https://timesofindia.indiatimes.com/city/delhi/weak-in-flesh-positive-in-battling-the-scourge/articleshow/66888273.cms,"Weak in flesh, positive in battling the scourge","Dec 1, 2018, 01:03 IST"
1545821915-125,Pay attention to these 7 very common HIV symptoms in women,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/pay-attention-to-these-7-very-common-hiv-symptoms-in-women/articleshow/66880738.cms,null,null
1545821921-127,"Indian banks now target Mallya's Indian Empress superyacht in bid to get back Rs 10,000 crore",https://timesofindia.indiatimes.com/world/uk/indian-banks-now-target-mallyas-indian-empress-superyacht-in-bid-to-get-back-rs-10000-crore/articleshow/66887735.cms,"Indian banks now target Mallya's Indian Empress superyacht in bid to get back Rs 10,000 crore","Dec 1, 2018, 10:42 IST"
1545822122-141,"Health cover may get dearer, life insurance cheaper",https://timesofindia.indiatimes.com/business/india-business/health-cover-may-get-dearer-life-cheaper/articleshow/66856927.cms,"Health cover may get dearer, life insurance cheaper","Nov 29, 2018, 10:26 IST"
1545822138-145,‘HIV patients fail to follow up on therapy’,https://timesofindia.indiatimes.com/city/goa/hiv-patients-fail-to-follow-up-on-therapy/articleshow/66878847.cms,‘HIV patients fail to follow up on therapy’,"Nov 30, 2018, 13:24 IST"
1545822128-142,AIDS centre struggles to get patients’ kin tested,https://timesofindia.indiatimes.com/city/goa/aids-centre-struggles-to-get-patients-kin-tested/articleshow/66856314.cms,AIDS centre struggles to get patients’ kin tested,"Nov 29, 2018, 07:26 IST"
1545822132-143,World AIDS Day 2018: Chennai college students to take oath to not discriminate people living with HIV,https://timesofindia.indiatimes.com/city/chennai/world-aids-day-2018-chennai-college-students-to-take-oath-to-not-discriminate-people-living-with-hiv/articleshow/66869864.cms,World AIDS Day 2018: Chennai college students to take oath to not discriminate people living with HIV,"Nov 30, 2018, 01:18 IST"
1545822118-140,Chinese geneticist reveals another 'potential' gene-edited pregnancy,https://timesofindia.indiatimes.com/home/science/chinese-geneticist-reveals-another-potential-gene-edited-pregnancy/articleshow/66848915.cms,Chinese geneticist reveals another 'potential' gene-edited pregnancy,"Nov 28, 2018, 17:24 IST"
1545822141-146,Busted:5 HIV AIDS myths,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/busted5-hiv-aids-myths/articleshow/66880090.cms,Busted:5 HIV AIDS myths,"Nov 30, 2018, 15:21 IST"
1545822097-137,Alcohol claimed 30 lakh lives across world in 2016: Nitish Kumar,https://timesofindia.indiatimes.com/city/patna/cm-alcohol-claimed-30l-lives-across-world-in-2016/articleshow/66815850.cms,Alcohol claimed 30 lakh lives across world in 2016: Nitish Kumar,"Nov 27, 2018, 14:44 IST"
1545822115-139,China scientist defends gene-editing babies as trial paused,https://timesofindia.indiatimes.com/home/science/china-scientist-defends-gene-editing-babies-as-trial-paused/articleshow/66846307.cms,China scientist defends gene-editing babies as trial paused,"Nov 28, 2018, 18:30 IST"
1545822134-144,Sanitary napkins not disposed of properly,https://timesofindia.indiatimes.com/city/coimbatore/sanitary-napkins-not-disposed-of-properly/articleshow/66873120.cms,Sanitary napkins not disposed of properly,"Nov 30, 2018, 10:53 IST"
1545822101-138,Chinese geneticist apologises for leak of baby-gene editing result,https://timesofindia.indiatimes.com/world/china/chinese-geneticist-apologises-for-leak-of-baby-gene-editing-result/articleshow/66839777.cms,Chinese geneticist apologises for leak of baby-gene editing result,"Nov 28, 2018, 11:08 IST"
1545822337-151,Stanley hospital to get stem cell lab early next year,https://timesofindia.indiatimes.com/city/chennai/stanley-hospital-to-get-stem-cell-lab-early-next-yr/articleshow/66741996.cms,Stanley hospital to get stem cell lab early next year,null
1545822390-158,"Docs: With preventive tablets handy, youths giving condoms a miss",https://timesofindia.indiatimes.com/city/mumbai/docs-with-preventive-tablets-handy-youths-giving-condoms-a-miss/articleshow/66818164.cms,"Docs: With preventive tablets handy, youths giving condoms a miss","Nov 27, 2018, 11:35 IST"
1545822349-154,Goa’s LGBTQ community gets its own trust,https://timesofindia.indiatimes.com/city/goa/goas-lgbtq-community-gets-its-own-trust/articleshow/66790315.cms,Goa’s LGBTQ community gets its own trust,"Nov 25, 2018, 12:46 IST"
1545822345-153,Condom-less sex popular thanks to pre-exposure drugs: Doctors,https://timesofindia.indiatimes.com/city/nagpur/condom-less-sex-popular-thanks-to-pre-exposure-drugs-docs/articleshow/66787120.cms,Condom-less sex popular thanks to pre-exposure drugs: Doctors,"Nov 25, 2018, 13:55 IST"
1545822356-155,First gene-edited babies claimed in China,https://timesofindia.indiatimes.com/home/science/first-gene-edited-babies-claimed-in-china/articleshow/66803075.cms,First gene-edited babies claimed in China,"Nov 26, 2018, 08:32 IST"
1545822386-156,3 children die while 'playing with bomb' in Arunachal,https://timesofindia.indiatimes.com/city/itanagar/3-children-die-while-playing-with-bomb-in-arunachal/articleshow/66804279.cms,3 children die while 'playing with bomb' in Arunachal,"Nov 26, 2018, 10:19 IST"
1545822334-150,GMCH drug shortage leaves AIDS patients in the lurch,https://timesofindia.indiatimes.com/city/aurangabad/gmch-drug-shortage-leaves-aids-patients-in-the-lurch/articleshow/66739923.cms,GMCH drug shortage leaves AIDS patients in the lurch,null
1545822330-149,NMC without swine flu vaccine even as toll rises,https://timesofindia.indiatimes.com/city/nagpur/nmc-without-swine-flu-vaccine-even-as-toll-rises/articleshow/66711749.cms,NMC without swine flu vaccine even as toll rises,"Nov 20, 2018, 19:32 IST"
1545822341-152,Mumbai: Free HIV tests at six railway stations for a week from Dec 1,https://timesofindia.indiatimes.com/city/mumbai/free-hiv-tests-at-six-rly-stns-for-a-week-from-dec-1/articleshow/66778185.cms,Mumbai: Free HIV tests at six railway stations for a week from Dec 1,"Nov 24, 2018, 00:17 IST"
1545822388-157,Nitish Kumar cites WHO findings to support prohibition in Bihar; says 30 lakh people died because of alcohol globally in 2016,https://timesofindia.indiatimes.com/india/nitish-kumar-cites-who-findings-to-support-prohibition-in-bihar-says-30-lakh-people-died-because-of-alcohol-globally-in-2016/articleshow/66817073.cms,Nitish Kumar cites WHO findings to support prohibition in Bihar; says 30 lakh people died because of alcohol globally in 2016,"Nov 26, 2018, 23:28 IST"
1545823001-170,"Harassed in jail, claims Lankan convict",https://timesofindia.indiatimes.com/city/chennai/harassed-in-jail-claims-lankan-convict/articleshow/66711554.cms,"Harassed in jail, claims Lankan convict","Nov 20, 2018, 19:24 IST"
1545822982-163,'HIV is a sin that needs to be tackled by God's rule',https://timesofindia.indiatimes.com/city/guwahati/hiv-is-a-sin-that-needs-to-be-tackled-by-gods-rule/articleshow/66695648.cms,'HIV is a sin that needs to be tackled by God's rule',"Nov 19, 2018, 19:16 IST"
1545822997-168,Understanding Male Infertility,https://timesofindia.indiatimes.com/understanding-male-infertility/articleshow/66708179.cms,Understanding Male Infertility,"Nov 20, 2018, 15:44 IST"
1545822995-167,"Harassed in jail, claims Sri Lankan convict",https://timesofindia.indiatimes.com/city/chennai/harassed-in-jail-claims-sri-lankan-convict/articleshow/66705270.cms,"Harassed in jail, claims Sri Lankan convict","Nov 20, 2018, 12:43 IST"
1545822986-165,Sudden surge reported in H1N1 cases this month,https://timesofindia.indiatimes.com/city/thiruvananthapuram/sudden-surge-reported-in-h1n1-cases-this-month/articleshow/66702837.cms,Sudden surge reported in H1N1 cases this month,"Nov 20, 2018, 09:36 IST"
1545822984-164,Sudden surge reported in H1N1 cases this month,https://timesofindia.indiatimes.com/city/kochi/sudden-surge-reported-in-h1n1-cases-this-month/articleshow/66702773.cms,Sudden surge reported in H1N1 cases this month,"Nov 20, 2018, 09:36 IST"
1545822979-162,Awareness programme for adolescents,https://timesofindia.indiatimes.com/city/chandigarh/awareness-programme-for-adolescents/articleshow/66665199.cms,Awareness programme for adolescents,"Nov 17, 2018, 12:56 IST"
1545822977-161,Zydus Cadila gets USFDA nod to market generic HIV treatment tablets,https://timesofindia.indiatimes.com/business/india-business/zydus-cadila-gets-usfda-nod-to-market-generic-hiv-treatment-tablets/articleshow/66650783.cms,Zydus Cadila gets USFDA nod to market generic HIV treatment tablets,"Nov 16, 2018, 13:36 IST"
1545822999-169,Understanding Male Infertility,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/understanding-male-infertility/articleshow/66708847.cms,Understanding Male Infertility,"Nov 20, 2018, 16:25 IST"
1545822993-166,"Now, project for women drug users",https://timesofindia.indiatimes.com/city/chandigarh/now-project-for-women-drug-users/articleshow/66703621.cms,"Now, project for women drug users","Nov 20, 2018, 10:49 IST"
1545823189-179,Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,https://timesofindia.indiatimes.com/home/education/news/tamarind-seeds-has-antiviral-properties-and-can-potentially-be-used-to-develop-antiviral-medication-for-chikungunya/articleshow/66615539.cms,Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,"Nov 14, 2018, 11:02 IST"
1545823191-180,Children’s home guard not guilty of sodomising HIV+ boy,https://timesofindia.indiatimes.com/city/delhi/childrens-home-guard-not-guilty-of-sodomising-hiv-boy/articleshow/66626831.cms,Children’s home guard not guilty of sodomising HIV+ boy,"Nov 15, 2018, 03:01 IST"
1545823176-173,Pneumonia claims two lives at MGMGH,https://timesofindia.indiatimes.com/city/trichy/pneumonia-claims-two-lives-at-mgmgh/articleshow/66572515.cms,Pneumonia claims two lives at MGMGH,"Nov 11, 2018, 00:17 IST"
1545823183-176,Excise team seizes cancer painkiller,https://timesofindia.indiatimes.com/city/kochi/excise-team-seizes-cancer-painkiller/articleshow/66585598.cms,Excise team seizes cancer painkiller,"Nov 12, 2018, 10:57 IST"
1545823178-174,HIV patient claims Bengaluru hospital denied treatment,https://timesofindia.indiatimes.com/city/bengaluru/hiv-patient-claims-bengaluru-hospital-denied-treatment/articleshow/66573471.cms,HIV patient claims Bengaluru hospital denied treatment,"Nov 11, 2018, 06:07 IST"
1545823195-182,Zika scare: MP violates blood donation norms,https://timesofindia.indiatimes.com/city/bhopal/zika-scare-mp-violates-blood-donation-norms/articleshow/66650482.cms,Zika scare: MP violates blood donation norms,"Nov 16, 2018, 13:23 IST"
1545823180-175,Maharashtra: H1N1 stings 41-60 age group with 201 fatalities,https://timesofindia.indiatimes.com/city/mumbai/h1n1-stings-41-60-age-group-with-201-fatalities/articleshow/66583596.cms,null,"Nov 12, 2018, 10:23 IST"
1545823185-177,Health activists raise concerns over IP provisions at RCEP,https://timesofindia.indiatimes.com/business/india-business/health-activists-raise-concerns-over-ip-provisions-at-rcep/articleshow/66611067.cms,Health activists raise concerns over IP provisions at RCEP,"Nov 13, 2018, 23:08 IST"
1545823193-181,Activists irked by RCEP talks over pharma patents,https://timesofindia.indiatimes.com/business/india-business/activists-irked-by-rcep-talks-over-pharma-patents/articleshow/66628273.cms,Activists irked by RCEP talks over pharma patents,"Nov 15, 2018, 06:29 IST"
1545823187-178,Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,https://timesofindia.indiatimes.com/india/tamarind-seeds-has-antiviral-properties-and-can-potentially-be-used-to-develop-antiviral-medication-for-chikungunya/articleshow/66614928.cms,Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,"Nov 14, 2018, 10:05 IST"
1545823357-189,Intensive TB drive to screen 1.10cr high-risk people in state,https://timesofindia.indiatimes.com/city/pune/intensive-tb-drive-to-screen-1-10cr-high-risk-people-in-state/articleshow/66502964.cms,Intensive TB drive to screen 1.10cr high-risk people in state,"Nov 5, 2018, 14:04 IST"
1545823361-191,HIV positive cases decline in Vizianagaram: Govt data,https://timesofindia.indiatimes.com/city/visakhapatnam/hiv-positive-cases-decline-in-vzm-govt-data/articleshow/66516920.cms,HIV positive cases decline in Vizianagaram: Govt data,"Nov 6, 2018, 14:34 IST"
1545823341-185,PG student wins big at national-level event,https://timesofindia.indiatimes.com/city/aurangabad/pg-student-wins-big-at-national-level-event/articleshow/66421279.cms,PG student wins big at national-level event,"Oct 30, 2018, 09:42 IST"
1545823359-190,"Diseases contracted after health policy purchase should be covered, suggests Irdai panel",https://timesofindia.indiatimes.com/business/india-business/diseases-contracted-after-health-policy-purchase-should-be-covered-suggests-irdai-panel/articleshow/66515370.cms,"Diseases contracted after health policy purchase should be covered, suggests Irdai panel","Nov 5, 2018, 21:41 IST"
1545823339-184,«Previous,https://timesofindia.indiatimes.com/searchresult.cms?maxRow=&kdaterange=1500&article=2&searchtype=2&section=&searchfield=&query=hiv&pagenumber=12&startdate=2001-01-01&enddate=2001-12-25&date1mm=01&date1dd=01&date1yyyy=2001&date2mm=12&date2dd=25&date2yyyy=2001,null,null
